nct_id,outcome_domain,outcome_title,outcome_description,time_frame,time_months,outcome_idx,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,events,denominator,value_raw,is_event_count,is_rate_only,incomplete_reason,source_url
NCT01920711,HF_HOSPITALIZATION,Cumulative Number of Primary Composite Events of Cardiovascular (CV) Death and Total (First and Recurrent) HF Hospitalizations.,"The primary objective of this study is to compare LCZ696 to valsartan in reducing the rate of the composite endpoint of CV death and total (first and recurrent) HF hospitalizations, in HF patients (New York Heart Association \[NYHA\] Class II-IV) with preserved ejection fraction (left ventricular ejection fraction \[LVEF\] ≥45%). The treatment arm with the lower rate of events will be deemed as having a successful response.",Total follow up time (up to 57 months),57.0,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG000,LCZ696,treatment,ARNI,lcz696,690.0,2407,690.0,True,False,,https://clinicaltrials.gov/study/NCT01920711
NCT01920711,HF_HOSPITALIZATION,Cumulative Number of Primary Composite Events of Cardiovascular (CV) Death and Total (First and Recurrent) HF Hospitalizations.,"The primary objective of this study is to compare LCZ696 to valsartan in reducing the rate of the composite endpoint of CV death and total (first and recurrent) HF hospitalizations, in HF patients (New York Heart Association \[NYHA\] Class II-IV) with preserved ejection fraction (left ventricular ejection fraction \[LVEF\] ≥45%). The treatment arm with the lower rate of events will be deemed as having a successful response.",Total follow up time (up to 57 months),57.0,0,resultsSection.outcomeMeasuresModule.outcomeMeasures[0],OG001,Valsartan,treatment,ARB/ACEi,valsartan,797.0,2389,797.0,True,False,,https://clinicaltrials.gov/study/NCT01920711
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG001,BAY1021189 1.25 mg,treatment,sGC stimulators,bay1021189 1.25 mg,6.0,96,6.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG002,BAY1021189 2.5 mg,treatment,sGC stimulators,bay1021189 2.5 mg,11.0,96,11.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG004,BAY1021189 2.5 mg to 10 mg,treatment,sGC stimulators,bay1021189 2.5 mg to 10 mg,5.0,96,5.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG003,BAY1021189 2.5 mg to 5 mg,treatment,sGC stimulators,bay1021189 2.5 mg to 5 mg,8.0,96,8.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT01951638,HF_HOSPITALIZATION,Number of Subjects With Clinical Events (Heart Failure Hospitalization and Cardio-vascular [CV] Mortality),"Clinical events (heart failure and mortality) were analyzed as CV death, and HF hospitalization at specified time points.",Baseline up to Week 16 including 12 week treatment period and 4 week follow-up period,2.7617951668584584,4,resultsSection.outcomeMeasuresModule.outcomeMeasures[4],OG000,Placebo,comparator,Placebo/SoC,placebo,8.0,93,8.0,True,False,,https://clinicaltrials.gov/study/NCT01951638
NCT02173548,HF_HOSPITALIZATION,Hospital Admission for Acute Decompensated Heart Failure,Number of participants admitted to hospital for acute decompensated heart failure,24 weeks,5.523590333716917,7,resultsSection.outcomeMeasuresModule.outcomeMeasures[7],OG000,Anakinra,treatment,Other,anakinra,1.0,20,1.0,True,False,,https://clinicaltrials.gov/study/NCT02173548
NCT02173548,HF_HOSPITALIZATION,Hospital Admission for Acute Decompensated Heart Failure,Number of participants admitted to hospital for acute decompensated heart failure,24 weeks,5.523590333716917,7,resultsSection.outcomeMeasuresModule.outcomeMeasures[7],OG001,Placebo,comparator,Placebo/SoC,placebo,1.0,8,1.0,True,False,,https://clinicaltrials.gov/study/NCT02173548
NCT03037580,HF_HOSPITALIZATION,Number of Subjects With First Clinical Worsening Event From Baseline to Week 24,"Clinical worsening was defined as the occurrence of any 1 of the following clinical worsening events: hospitalization due to a cardiopulmonary indication (a non-elective hospitalization lasting at least 24 hours in duration caused by clinical conditions directly related to PH and/or heart failure), outpatient administration of IV diuretics, death (all causes), decrease in 6MWD \>15% from Baseline (or the subject was too ill to walk, and the cause was directly related to the disease under study) at 2 consecutive visits on different days (except Week 24).",Baseline to Week 24,5.523590333716916,2,resultsSection.outcomeMeasuresModule.outcomeMeasures[2],OG000,Oral Treprostinil,treatment,Other,oral treprostinil,35.0,41,35.0,True,False,,https://clinicaltrials.gov/study/NCT03037580
