intervention_class,outcome,metric,value,framework,framework_item,guidance_interpretation
ARB/ACEi,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
ARB/ACEi,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
ARB/ACEi,HF_HOSPITALIZATION,eligible_completed_trials,8,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
ARB/ACEi,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
ARB/ACEi,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
ARB/ACEi,HF_HOSPITALIZATION,reporting_debt_rate,0.25,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
ARNI,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
ARNI,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
ARNI,HF_HOSPITALIZATION,eligible_completed_trials,9,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
ARNI,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
ARNI,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
ARNI,HF_HOSPITALIZATION,reporting_debt_rate,0.14285714285714285,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Beta blockers,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Beta blockers,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Beta blockers,HF_HOSPITALIZATION,eligible_completed_trials,2,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Beta blockers,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Beta blockers,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Beta blockers,HF_HOSPITALIZATION,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
MRA,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
MRA,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
MRA,HF_HOSPITALIZATION,eligible_completed_trials,1,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
MRA,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
MRA,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
MRA,HF_HOSPITALIZATION,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Neprilysin inhibitors,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Neprilysin inhibitors,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Neprilysin inhibitors,HF_HOSPITALIZATION,eligible_completed_trials,0,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Neprilysin inhibitors,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Neprilysin inhibitors,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Neprilysin inhibitors,HF_HOSPITALIZATION,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Other,HF_HOSPITALIZATION,ecr_participants,0.002018018018018018,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Other,HF_HOSPITALIZATION,ecr_trials,0.007936507936507936,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Other,HF_HOSPITALIZATION,eligible_completed_trials,126,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Other,HF_HOSPITALIZATION,endpoint_alignment_rate,1.0,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Other,HF_HOSPITALIZATION,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Other,HF_HOSPITALIZATION,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
Other,HF_HOSPITALIZATION,reporting_debt_rate,0.5961538461538461,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
SGLT2 inhibitors,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
SGLT2 inhibitors,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
SGLT2 inhibitors,HF_HOSPITALIZATION,eligible_completed_trials,14,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
SGLT2 inhibitors,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
SGLT2 inhibitors,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
SGLT2 inhibitors,HF_HOSPITALIZATION,reporting_debt_rate,0.2,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Unknown,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Unknown,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Unknown,HF_HOSPITALIZATION,eligible_completed_trials,0,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Unknown,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Unknown,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Unknown,HF_HOSPITALIZATION,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
sGC stimulators,HF_HOSPITALIZATION,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
